survey11,hhid11,vehid,Ownership,FuelCost,HomeParking,wf11,version
bsh,1820600,1,1,1,2,14.150442,1
bsh,1820600,2,1,1,2,14.150442,1
bsh,1820610,1,1,1,1,14.150442,1
bsh,1820610,2,1,1,1,14.150442,1
bsh,1820620,1,1,1,1,14.150442,1
bsh,1820640,1,1,1,1,14.150442,1
bsh,1820640,2,1,1,1,14.150442,1
bsh,1820660,1,1,1,1,14.150442,1
bsh,1820660,2,1,1,1,14.150442,1
bsh,1820660,3,1,1,1,14.150442,1
bsh,1820660,4,1,1,1,14.150442,1
bsh,1820670,1,1,1,2,14.150442,1
bsh,1820680,1,1,1,1,14.150442,1
bsh,1820720,1,1,1,1,14.150442,1
bsh,1820810,1,1,1,1,14.150442,1
bsh,1820870,1,1,1,1,14.150442,1
bsh,1820890,1,1,1,1,14.150442,1
bsh,1820900,1,2,2,2,14.150442,1
bsh,1820900,2,2,2,2,14.150442,1
bsh,2320010,1,1,1,1,14.150442,1
bsh,2320010,2,1,1,1,14.150442,1
bsh,2320020,1,1,1,1,14.150442,1
bsh,2320050,1,1,1,1,14.150442,1
bsh,2320050,2,1,1,1,14.150442,1
bsh,2320080,1,1,1,1,14.150442,1
bsh,2320090,1,1,1,1,14.150442,1
bsh,2320090,2,1,1,1,14.150442,1
bsh,2320110,1,1,1,1,14.150442,1
bsh,2320120,1,1,1,2,14.150442,1
bsh,2320120,2,1,1,1,14.150442,1
bsh,2320140,1,1,1,1,14.150442,1
bsh,2320140,2,1,1,1,14.150442,1
bsh,2320170,1,1,1,1,14.150442,1
bsh,2320170,2,1,1,1,14.150442,1
bsh,2320190,1,1,1,1,14.150442,1
bsh,2320190,2,1,1,1,14.150442,1
bsh,2320200,1,1,1,1,14.150442,1
bsh,2320200,2,1,1,1,14.150442,1
bsh,2320230,1,1,1,1,14.150442,1
bsh,2320240,1,1,1,1,14.150442,1
bsh,2320240,2,1,1,1,14.150442,1
bsh,2320250,1,1,1,1,14.150442,1
bsh,2320250,2,1,1,1,14.150442,1
bsh,2320280,1,1,1,1,14.150442,1
bsh,2320280,2,1,1,1,14.150442,1
bsh,2320290,1,1,1,1,14.150442,1
bsh,2320290,2,2,2,1,14.150442,1
bsh,2320300,1,1,1,1,14.150442,1
bsh,2320300,2,1,1,1,14.150442,1
bsh,2320320,1,1,1,1,14.150442,1
bsh,2320330,1,1,1,1,14.150442,1
bsh,2320330,2,1,1,1,14.150442,1
bsh,2320340,1,1,1,1,14.150442,1
bsh,2320350,1,1,1,1,14.150442,1
bsh,2320350,2,1,1,1,14.150442,1
bsh,2320370,1,1,1,1,14.150442,1
bsh,2320370,2,1,1,1,14.150442,1
bsh,2320410,1,1,1,1,14.150442,1
bsh,2320430,1,1,1,1,14.150442,1
bsh,2320430,2,1,1,1,14.150442,1
bsh,2320460,1,1,1,1,14.150442,1
bsh,2320460,2,1,1,1,14.150442,1
bsh,2320460,3,1,1,1,14.150442,1
bsh,2320470,1,1,1,1,14.150442,1
bsh,2320470,2,1,1,1,14.150442,1
bsh,2320500,1,1,1,1,14.150442,1
bsh,2320510,1,1,1,1,14.150442,1
bsh,2320550,1,2,2,1,14.150442,1
bsh,2320550,2,1,1,1,14.150442,1
bsh,2320560,1,1,1,1,14.150442,1
bsh,2320570,1,1,1,1,14.150442,1
bsh,2320570,2,1,1,1,14.150442,1
bsh,2320580,1,1,1,1,14.150442,1
bsh,2320580,2,1,1,1,14.150442,1
bsh,2400020,1,1,1,1,14.150442,1
bsh,2400020,2,1,1,1,14.150442,1
bsh,2400030,1,1,1,1,14.150442,1
bsh,2400030,2,1,1,1,14.150442,1
bsh,2400070,1,1,1,1,14.150442,1
bsh,2400090,1,1,1,1,14.150442,1
bsh,2400090,2,1,1,1,14.150442,1
bsh,2400100,1,1,1,1,14.150442,1
bsh,2400120,1,1,1,1,14.150442,1
bsh,2400120,2,1,1,1,14.150442,1
bsh,2400200,1,1,1,1,14.150442,1
bsh,2400200,2,9,9,9,14.150442,1
bsh,2400240,1,1,1,1,14.150442,1
bsh,2400270,1,1,1,1,14.150442,1
bsh,2400290,1,1,1,1,14.150442,1
bsh,2400300,1,1,1,1,14.150442,1
bsh,2400300,2,2,2,1,14.150442,1
bsh,2400300,3,1,1,1,14.150442,1
bsh,2400330,1,1,1,1,14.150442,1
bsh,2400360,1,1,1,1,14.150442,1
bsh,2400370,1,1,1,1,14.150442,1
bsh,2400390,1,1,1,1,14.150442,1
bsh,2400390,2,1,1,1,14.150442,1
bsh,2400440,1,1,1,1,14.150442,1
bsh,2400440,2,1,1,1,14.150442,1
bsh,2400460,1,1,1,1,14.150442,1
bsh,2400470,1,1,1,1,14.150442,1
bsh,2400470,2,1,1,1,14.150442,1
bsh,2400480,1,1,1,1,14.150442,1
bsh,2400480,2,1,1,1,14.150442,1
bsh,2400480,3,9,9,9,14.150442,1
bsh,2400510,1,1,1,1,14.150442,1
bsh,2400510,2,1,1,1,14.150442,1
bsh,2400540,1,2,2,1,14.150442,1
bsh,2400540,2,1,1,1,14.150442,1
bsh,2400560,1,1,1,1,14.150442,1
bsh,2400580,1,1,1,1,14.150442,1
bsh,2400580,2,1,1,1,14.150442,1
bsh,2400600,1,1,1,1,14.150442,1
bsh,2400600,2,1,1,1,14.150442,1
bsh,2400600,3,9,9,9,14.150442,1
bsh,2400600,4,9,9,9,14.150442,1
bsh,2400600,5,9,9,9,14.150442,1
bsh,2400620,1,1,1,1,14.150442,1
bsh,2400640,1,1,1,1,14.150442,1
bsh,2400670,1,1,1,1,14.150442,1
bsh,2400720,1,1,1,1,14.150442,1
bsh,2400730,1,1,1,1,14.150442,1
bsh,2400730,2,1,1,1,14.150442,1
bsh,2400750,1,1,1,1,14.150442,1
bsh,2400750,2,1,1,1,14.150442,1
bsh,2400750,3,1,1,1,14.150442,1
bsh,2400750,4,1,1,1,14.150442,1
bsh,2400750,5,1,1,1,14.150442,1
bsh,2400750,6,9,9,9,14.150442,1
bsh,2400750,7,9,9,9,14.150442,1
bsh,2400770,1,2,2,1,14.150442,1
bsh,2400770,2,2,2,1,14.150442,1
bsh,2400820,1,1,1,1,14.150442,1
bsh,2400820,2,1,1,1,14.150442,1
bsh,2400830,1,1,1,1,14.150442,1
bsh,2400830,2,1,1,1,14.150442,1
bsh,2400840,1,1,1,1,14.150442,1
bsh,2400840,2,1,1,1,14.150442,1
bsh,2400860,1,1,1,1,14.150442,1
bsh,2400890,1,1,1,1,14.150442,1
bsh,2400890,2,1,1,1,14.150442,1
bsh,274100020,1,1,1,1,17.428572,1
bsh,274100030,1,2,1,1,17.428572,1
bsh,274100050,1,1,1,1,17.428572,1
bsh,274100050,2,1,1,1,17.428572,1
bsh,274100070,1,1,1,1,17.428572,1
bsh,274100070,2,1,1,1,17.428572,1
bsh,274100080,1,1,1,1,17.428572,1
bsh,274100090,1,2,2,2,17.428572,1
bsh,274100090,2,1,1,1,17.428572,1
bsh,27410020,1,1,1,1,17.428572,1
bsh,27410020,2,1,1,1,17.428572,1
bsh,27410030,1,1,1,1,17.428572,1
bsh,27410030,2,1,1,1,17.428572,1
bsh,274100380,1,1,1,1,14.150442,1
bsh,27410040,1,1,1,1,17.428572,1
bsh,27410090,1,1,1,1,17.428572,1
bsh,27410100,1,1,1,1,17.428572,1
bsh,27410100,2,1,1,1,17.428572,1
bsh,27410130,1,1,1,1,17.428572,1
bsh,27410140,1,1,1,1,17.428572,1
bsh,27410150,1,1,1,1,17.428572,1
bsh,27410150,2,1,1,1,17.428572,1
bsh,27410180,1,1,1,1,17.428572,1
bsh,27410190,1,1,1,1,17.428572,1
bsh,27410210,1,2,2,1,17.428572,1
bsh,27410210,2,1,1,1,17.428572,1
bsh,27410260,1,2,2,2,17.428572,1
bsh,27410260,2,1,1,1,17.428572,1
bsh,27410280,1,1,1,1,17.428572,1
bsh,27410310,1,1,1,1,17.428572,1
bsh,27410340,1,1,1,1,17.428572,1
bsh,27410350,1,2,2,2,17.428572,1
bsh,27410350,2,1,1,1,17.428572,1
bsh,27410380,1,1,1,1,17.428572,1
bsh,27410380,2,1,1,1,17.428572,1
bsh,27410410,1,1,1,1,17.428572,1
bsh,27410430,1,2,2,1,17.428572,1
bsh,27410430,2,1,1,1,17.428572,1
bsh,27410440,1,1,1,1,17.428572,1
bsh,27410440,2,1,1,1,17.428572,1
bsh,27410450,1,2,2,2,17.428572,1
bsh,27410450,2,1,1,2,17.428572,1
bsh,27410480,1,1,1,1,17.428572,1
bsh,27410590,1,2,2,2,17.428572,1
bsh,27410590,2,1,1,2,17.428572,1
bsh,27410650,1,1,1,1,17.428572,1
bsh,27410650,2,1,1,1,17.428572,1
bsh,27410660,1,1,1,1,17.428572,1
bsh,27410660,2,9,9,9,17.428572,1
bsh,27410670,1,2,2,2,17.428572,1
bsh,27410690,1,1,1,1,17.428572,1
bsh,30950010,1,2,2,1,14.150442,1
bsh,30950010,2,1,1,1,14.150442,1
bsh,30950020,1,1,1,1,14.150442,1
bsh,30950020,2,1,1,1,14.150442,1
bsh,30950020,3,1,1,1,14.150442,1
bsh,30950030,1,2,2,2,14.150442,1
bsh,30950030,2,1,1,1,14.150442,1
bsh,30950040,1,1,1,1,14.150442,1
bsh,30950040,2,1,1,1,14.150442,1
bsh,30950150,1,1,1,1,14.150442,1
bsh,30950150,2,1,1,1,14.150442,1
bsh,30950160,1,1,1,1,14.150442,1
bsh,30950200,1,1,1,1,14.150442,1
bsh,30950210,1,1,1,1,14.150442,1
bsh,30950210,2,1,1,1,14.150442,1
bsh,30950250,1,1,1,1,14.150442,1
bsh,30950250,2,1,1,2,14.150442,1
bsh,30950250,3,2,2,1,14.150442,1
bsh,30950250,4,9,9,9,14.150442,1
bsh,30950250,5,9,9,9,14.150442,1
bsh,30950250,6,9,9,9,14.150442,1
bsh,30950370,1,1,1,1,14.150442,1
bsh,30950370,2,1,1,1,14.150442,1
bsh,30950370,3,1,1,1,14.150442,1
bsh,30950430,1,1,1,1,14.150442,1
bsh,30950440,1,2,2,2,14.150442,1
bsh,30950440,2,1,1,1,14.150442,1
bsh,30950440,3,1,1,2,14.150442,1
bsh,30950470,1,1,1,1,14.150442,1
bsh,30950500,1,1,1,1,14.150442,1
bsh,30950500,2,2,2,1,14.150442,1
bsh,30950530,1,1,1,1,14.150442,1
bsh,30950560,1,1,1,1,14.150442,1
bsh,30950560,2,1,1,1,14.150442,1
bsh,30950560,3,9,9,9,14.150442,1
bsh,30950560,4,9,9,9,14.150442,1
bsh,30950580,1,1,1,1,14.150442,1
bsh,30950600,1,1,1,2,14.150442,1
bsh,30950600,2,1,1,1,14.150442,1
bsh,30950610,1,1,1,1,14.150442,1
bsh,30950620,1,1,1,1,14.150442,1
bsh,30950620,2,1,1,1,14.150442,1
bsh,30950630,1,1,1,1,14.150442,1
bsh,30950650,1,1,1,1,14.150442,1
bsh,30950650,2,1,1,1,14.150442,1
bsh,30950810,1,1,1,1,14.150442,1
bsh,30950810,2,1,1,1,14.150442,1
bsh,30950820,1,1,1,1,14.150442,1
bsh,30950830,1,1,1,1,14.150442,1
bsh,30950860,1,1,1,1,14.150442,1
bsh,30950900,1,1,1,1,14.150442,1
bsh,30950900,2,1,1,1,14.150442,1
bsh,30950900,3,1,1,1,14.150442,1
bsh,31520010,1,1,1,1,17.428572,1
bsh,31520020,1,1,1,1,17.428572,1
bsh,31520040,1,1,1,1,17.428572,1
bsh,31520060,1,2,2,1,17.428572,1
bsh,31520060,2,1,1,1,17.428572,1
bsh,31520070,1,1,1,1,17.428572,1
bsh,31520080,1,1,1,1,17.428572,1
bsh,31520090,1,1,1,1,17.428572,1
bsh,31520110,1,9,9,9,17.428572,1
bsh,31520110,2,9,9,9,17.428572,1
bsh,31520110,3,9,9,9,17.428572,1
bsh,31520130,1,1,2,1,17.428572,1
bsh,31520130,2,2,2,1,17.428572,1
bsh,31520140,1,2,2,1,17.428572,1
bsh,31520150,1,1,1,1,17.428572,1
bsh,31520150,2,1,1,1,17.428572,1
bsh,31520170,1,1,1,1,17.428572,1
bsh,31520200,1,1,1,1,17.428572,1
bsh,31520210,1,2,2,1,17.428572,1
bsh,31520210,2,1,1,1,17.428572,1
bsh,31520220,1,1,1,1,17.428572,1
bsh,31520220,2,2,1,1,17.428572,1
bsh,31520230,1,1,1,1,17.428572,1
bsh,31520230,2,2,2,1,17.428572,1
bsh,31520240,1,1,1,1,17.428572,1
bsh,31520250,1,1,1,1,17.428572,1
bsh,31520260,1,2,2,1,17.428572,1
bsh,31520270,1,1,1,1,17.428572,1
bsh,31520270,2,1,1,1,17.428572,1
bsh,31520280,1,9,9,9,17.428572,1
bsh,31520280,2,9,9,9,17.428572,1
bsh,31520300,1,2,2,2,17.428572,1
bsh,31520300,2,1,1,1,17.428572,1
bsh,31520300,3,1,1,1,17.428572,1
bsh,31520310,1,1,1,1,17.428572,1
bsh,31520330,1,1,1,1,17.428572,1
bsh,31520340,1,2,2,1,17.428572,1
bsh,31520340,2,2,2,1,17.428572,1
bsh,31520350,1,1,1,1,17.428572,1
bsh,31520380,1,2,2,1,17.428572,1
bsh,31520380,2,2,2,1,17.428572,1
bsh,31520390,1,2,2,1,17.428572,1
bsh,31520430,1,1,1,1,17.428572,1
bsh,31520440,1,2,2,1,17.428572,1
bsh,31520440,2,1,1,1,17.428572,1
bsh,31520450,1,3,2,1,17.428572,1
bsh,31520450,2,1,1,1,17.428572,1
bsh,31520470,1,9,9,9,17.428572,1
bsh,31520490,1,1,1,1,17.428572,1
bsh,31520490,2,1,1,1,17.428572,1
bsh,31520520,1,1,1,1,17.428572,1
bsh,31520520,2,1,1,1,17.428572,1
bsh,31520570,1,1,1,1,17.428572,1
bsh,31520580,1,1,1,2,17.428572,1
bsh,31520590,1,1,1,1,17.428572,1
bsh,31520610,1,1,1,1,17.428572,1
bsh,31520630,1,1,1,1,17.428572,1
bsh,31520660,1,1,1,1,17.428572,1
bsh,31520660,2,1,1,1,17.428572,1
bsh,31520670,1,2,2,1,17.428572,1
bsh,31520670,2,1,1,1,17.428572,1
bsh,31520700,1,2,2,1,17.428572,1
bsh,31520700,2,2,2,1,17.428572,1
bsh,31520720,1,1,1,1,17.428572,1
bsh,31520720,2,1,1,1,17.428572,1
bsh,31520730,1,1,1,1,17.428572,1
bsh,31520760,1,1,1,1,17.428572,1
bsh,31520780,1,2,2,1,17.428572,1
bsh,31520780,2,1,1,1,17.428572,1
bsh,31520790,1,1,1,1,17.428572,1
bsh,31520790,2,2,2,1,17.428572,1
bsh,31520800,1,1,1,1,17.428572,1
bsh,31520830,1,1,1,1,17.428572,1
bsh,31520860,1,1,1,1,17.428572,1
bsh,31520870,1,1,2,1,17.428572,1
bsh,31520890,1,2,2,1,17.428572,1
bsh,31520890,2,1,1,1,17.428572,1
bsh,35170030,1,1,1,2,15.358974,1
bsh,35170030,2,1,1,1,15.358974,1
bsh,35170040,1,1,1,1,15.358974,1
bsh,35170080,1,1,1,2,15.358974,1
bsh,35170120,1,1,1,2,15.358974,1
bsh,35170160,1,2,1,2,15.358974,1
bsh,35170160,2,1,1,1,15.358974,1
bsh,35170190,1,1,3,2,15.358974,1
bsh,35170220,1,1,1,1,15.358974,1
bsh,35170220,2,1,1,1,15.358974,1
bsh,35170240,1,1,1,1,15.358974,1
bsh,35170250,1,1,1,1,15.358974,1
bsh,35170270,1,1,1,2,15.358974,1
bsh,35170270,2,1,1,1,15.358974,1
bsh,35170280,1,1,1,1,15.358974,1
bsh,35170300,1,1,1,1,15.358974,1
bsh,35170370,1,1,1,2,15.358974,1
bsh,35170370,2,1,1,1,15.358974,1
bsh,35170380,1,1,1,2,15.358974,1
bsh,35170380,2,1,1,2,15.358974,1
bsh,35170380,3,1,1,2,15.358974,1
bsh,35170400,1,1,1,1,15.358974,1
bsh,35170400,2,1,1,1,15.358974,1
bsh,35170440,1,3,2,2,15.358974,1
bsh,35170440,2,1,1,1,15.358974,1
bsh,35170450,1,1,1,1,15.358974,1
bsh,35170450,2,1,1,2,15.358974,1
bsh,35170520,1,1,1,2,15.358974,1
bsh,35170530,1,1,1,2,15.358974,1
bsh,35170530,2,1,1,2,15.358974,1
bsh,35170530,3,9,9,9,15.358974,1
bsh,35170540,1,1,1,2,15.358974,1
bsh,35170540,2,1,1,1,15.358974,1
bsh,35170550,1,1,1,2,15.358974,1
bsh,35170550,2,1,1,2,15.358974,1
bsh,35170550,3,1,1,2,15.358974,1
bsh,35170590,1,2,2,2,15.358974,1
bsh,35170590,2,1,1,2,15.358974,1
bsh,35170600,1,1,1,2,15.358974,1
bsh,35170600,2,1,1,2,15.358974,1
bsh,35170630,1,2,2,2,15.358974,1
bsh,35170630,2,2,2,2,15.358974,1
bsh,35170640,1,1,1,2,15.358974,1
bsh,35170720,1,2,2,2,15.358974,1
bsh,35170720,2,1,1,1,15.358974,1
bsh,35170730,1,2,2,2,15.358974,1
bsh,35170750,1,1,1,1,15.358974,1
bsh,35170790,1,1,2,2,15.358974,1
bsh,35170790,2,1,1,1,15.358974,1
bsh,35170840,1,1,1,1,15.358974,1
bsh,35170840,2,1,1,2,15.358974,1
bsh,35170880,1,2,2,2,15.358974,1
bsh,35170880,2,1,1,2,15.358974,1
bsh,35820010,1,1,1,1,15.358974,1
bsh,35820070,1,2,2,3,15.358974,1
bsh,35820070,2,1,1,3,15.358974,1
bsh,35820090,1,1,1,3,15.358974,1
bsh,35820120,1,1,1,3,15.358974,1
bsh,35820180,1,2,2,3,15.358974,1
bsh,35820210,1,2,2,3,15.358974,1
bsh,35820220,1,1,1,3,15.358974,1
bsh,35820220,2,1,1,3,15.358974,1
bsh,35820250,1,1,1,3,15.358974,1
bsh,35820260,1,1,1,3,15.358974,1
bsh,35820260,2,1,1,3,15.358974,1
bsh,35820340,1,1,1,3,15.358974,1
bsh,35820360,1,1,1,3,15.358974,1
bsh,35820360,2,1,1,3,15.358974,1
bsh,35820400,1,1,1,3,15.358974,1
bsh,35820400,2,1,1,3,15.358974,1
bsh,35820410,1,9,9,9,15.358974,1
bsh,35820420,1,9,9,9,15.358974,1
bsh,35820430,1,9,9,9,15.358974,1
bsh,35820440,1,2,2,3,15.358974,1
bsh,35820440,2,1,1,3,15.358974,1
bsh,35820470,1,2,2,3,15.358974,1
bsh,35820470,2,1,1,3,15.358974,1
bsh,35820530,1,1,1,1,15.358974,1
bsh,35820610,1,9,9,9,15.358974,1
bsh,35820800,1,2,2,3,15.358974,1
bsh,35820800,2,1,1,3,15.358974,1
bsh,35820810,1,2,2,3,15.358974,1
bsh,35820810,2,1,1,3,15.358974,1
bsh,35820850,1,1,1,3,15.358974,1
