survey1,survey_num,hhid,sector,hhsize,HHChild8,hhveh,hhmicroveh,days,day1,day2,wf1,hhSemel,Yshuvtype,Mahoz,Gizra,hhtaz,Mosad,HHType,HHMembers,year,version
bsh,1,5030870,1,2,0,2,,1,01/06/2015,,66.57,7100,1,6,961,2486,,21,|2|2|,2015,1
bsh,1,5031050,1,1,0,1,,1,31/05/2015,,44.82,7100,1,6,961,2487,,10,|1|,2015,1
bsh,1,5031100,1,5,3,1,,1,27/05/2015,,36.43,7100,1,6,961,2488,,22,|3|3|4|4|4|,2015,1
bsh,1,5031110,1,2,0,1,,1,27/05/2015,,36.43,7100,1,6,961,2488,,21,|2|2|,2015,1
bsh,1,5031120,1,2,0,1,,1,27/05/2015,,36.43,7100,1,6,961,2488,,21,|2|2|,2015,1
bsh,1,5031130,1,3,0,1,,1,28/05/2015,,36.43,7100,1,6,961,2488,,23,|4|3|3|,2015,1
bsh,1,5031150,1,4,2,2,,1,27/05/2015,,36.43,7100,1,6,961,2488,,22,|3|3|4|4|,2015,1
bsh,1,5031160,1,1,0,0,,1,27/05/2015,,36.43,7100,1,6,961,2488,,10,|1|,2015,1
bsh,1,5031500,1,4,2,1,,1,04/06/2015,,36.259998,7100,1,6,961,2489,,22,|3|3|4|4|,2015,1
bsh,1,5031510,1,1,0,1,,1,04/06/2015,,36.259998,7100,1,6,961,2489,,10,|1|,2015,1
bsh,1,5031520,1,2,0,2,,1,02/06/2015,,36.259998,7100,1,6,961,2489,,21,|2|2|,2015,1
bsh,1,5031560,1,4,0,2,,1,04/06/2015,,36.259998,7100,1,6,961,2489,,23,|3|4|4|4|,2015,1
bsh,1,5031570,1,3,0,1,,1,02/06/2015,,36.259998,7100,1,6,961,2489,,22,|3|3|4|,2015,1
bsh,1,5031620,1,3,0,1,,1,02/06/2015,,36.259998,7100,1,6,961,2489,,23,|3|4|4|,2015,1
bsh,1,5032250,2,4,2,2,,1,10/06/2015,,41.290001,7100,1,6,961,2492,,22,|3|3|4|4|,2015,1
bsh,1,5032260,1,2,0,0,,1,04/06/2015,,41.290001,7100,1,6,961,2492,,21,|2|2|,2015,1
bsh,1,5032280,1,1,0,0,,1,07/06/2015,,41.290001,7100,1,6,961,2492,,10,|1|,2015,1
bsh,1,5032300,1,4,2,2,,1,15/06/2015,,41.290001,7100,1,6,961,2491,,22,|3|3|4|4|,2015,1
bsh,1,5032310,1,5,3,1,,1,10/06/2015,,41.290001,7100,1,6,961,2492,,22,|3|3|4|4|4|,2015,1
bsh,1,5032330,1,5,0,2,,1,10/06/2015,,41.290001,7100,1,6,961,2492,,22,|3|3|4|4|4|,2015,1
bsh,1,5032350,1,3,1,2,,1,11/06/2015,,41.290001,7100,1,6,961,2497,,22,|3|3|4|,2015,1
bsh,1,5032550,1,3,0,1,,1,10/06/2015,,37.029999,7100,1,6,961,2564,,22,|3|3|4|,2015,1
bsh,1,5032610,1,4,1,2,,1,08/06/2015,,37.029999,7100,1,6,961,2564,,22,|3|3|4|4|,2015,1
bsh,1,5032620,1,3,0,1,,1,09/06/2015,,37.029999,7100,1,6,961,2564,,23,|3|4|4|,2015,1
bsh,1,5032630,1,3,0,1,,1,17/06/2015,,37.029999,7100,1,6,961,2564,,22,|3|3|4|,2015,1
bsh,1,5032660,1,3,0,0,,1,09/06/2015,,37.029999,7100,1,6,961,2564,,21,|6|2|2|,2015,1
bsh,1,5032670,1,4,2,1,,1,10/06/2015,,37.029999,7100,1,6,961,2564,,22,|3|3|4|4|,2015,1
bsh,1,5032690,1,3,0,1,,1,15/06/2015,,37.029999,7100,1,6,961,2564,,22,|3|3|4|,2015,1
bsh,1,5032700,1,5,3,1,,1,10/06/2015,,37.029999,7100,1,6,961,2564,,22,|3|3|4|4|4|,2015,1
bsh,1,5032710,1,3,0,0,,1,10/06/2015,,37.029999,7100,1,6,961,2564,,22,|3|3|4|,2015,1
bsh,1,5032780,1,2,0,1,,1,10/06/2015,,30.51,7100,1,6,961,2565,,21,|2|2|,2015,1
bsh,1,5032800,1,5,1,3,,1,10/06/2015,,37.029999,7100,1,6,961,2564,,22,|3|3|4|4|4|,2015,1
bsh,1,5032830,1,1,0,0,,1,14/06/2015,,37.029999,7100,1,6,961,2564,,10,|1|,2015,1
bsh,1,5032840,1,2,0,0,,1,10/06/2015,,37.029999,7100,1,6,961,2564,,21,|2|2|,2015,1
bsh,1,5033210,1,6,3,1,,1,10/06/2015,,38.790001,7100,1,6,961,2494,,22,|3|3|4|4|4|4|,2015,1
bsh,1,5033230,1,4,0,1,,1,07/06/2015,,38.790001,7100,1,6,961,2494,,22,|3|3|4|4|,2015,1
bsh,1,5033290,1,2,0,2,,1,11/06/2015,,38.790001,7100,1,6,961,2494,,21,|2|2|,2015,1
bsh,1,5033660,1,1,0,0,,1,08/06/2015,,29.719999,7100,1,6,961,2495,,10,|1|,2015,1
bsh,1,5033760,1,6,3,0,,1,09/06/2015,,21.809999,7100,1,6,961,2496,,22,|3|3|4|4|4|4|,2015,1
bsh,1,5033780,1,5,0,2,,1,17/06/2015,,21.809999,7100,1,6,961,2496,,22,|6|3|3|4|4|,2015,1
bsh,1,5033830,1,2,0,1,,1,09/06/2015,,21.809999,7100,1,6,961,2496,,21,|2|2|,2015,1
bsh,1,5033850,1,3,0,2,,1,09/06/2015,,21.809999,7100,1,6,961,2496,,23,|3|4|4|,2015,1
bsh,1,5033920,1,6,1,1,,1,10/06/2015,,21.809999,7100,1,6,961,2496,,22,|3|3|4|4|4|4|,2015,1
bsh,1,5034390,1,1,0,1,,1,07/06/2015,,42.389999,7100,1,6,961,2499,,10,|1|,2015,1
bsh,1,5034460,1,3,1,0,,1,08/06/2015,,42.389999,7100,1,6,961,2499,,22,|3|3|4|,2015,1
bsh,1,5034480,1,3,1,1,,1,09/06/2015,,42.389999,7100,1,6,961,2499,,22,|3|3|4|,2015,1
bsh,1,5034550,1,1,0,1,,1,16/06/2015,,42.389999,7100,1,6,961,2499,,10,|1|,2015,1
bsh,1,5034590,1,6,4,2,,1,18/06/2015,,42.389999,7100,1,6,961,2499,,22,|3|3|4|4|4|4|,2015,1
bsh,1,5034610,1,4,2,2,,1,16/06/2015,,42.389999,7100,1,6,961,2499,,22,|3|3|4|4|,2015,1
bsh,1,5034620,1,3,1,2,,1,17/06/2015,,42.389999,7100,1,6,961,2499,,22,|3|3|4|,2015,1
bsh,1,5034800,1,2,0,0,,1,08/06/2015,,51.919998,7100,1,6,961,2500,,21,|2|2|,2015,1
bsh,1,5034820,1,2,0,0,,1,08/06/2015,,51.919998,7100,1,6,961,2500,,23,|3|4|,2015,1
bsh,1,5034840,1,3,0,0,,1,08/06/2015,,51.919998,7100,1,6,961,2500,,21,|2|2|6|,2015,1
bsh,1,5034860,1,5,1,1,,1,09/06/2015,,51.919998,7100,1,6,961,2500,,23,|3|4|4|4|4|,2015,1
bsh,1,5034870,1,4,0,1,,1,08/06/2015,,51.919998,7100,1,6,961,2500,,22,|3|3|4|4|,2015,1
bsh,1,5034880,1,3,1,1,,1,14/06/2015,,51.919998,7100,1,6,961,2500,,22,|3|3|4|,2015,1
bsh,1,5034940,1,2,0,0,,1,10/06/2015,,51.919998,7100,1,6,961,2500,,21,|2|2|,2015,1
bsh,1,5034960,1,1,0,0,,1,27/05/2015,,34.330002,7100,1,6,961,2503,,10,|1|,2015,1
bsh,1,5034970,1,2,0,0,,1,27/05/2015,,34.330002,7100,1,6,961,2503,,32,|7|7|,2015,1
bsh,1,5034980,1,3,0,1,,1,27/05/2015,,34.330002,7100,1,6,961,2503,,23,|4|3|3|,2015,1
bsh,1,5034990,1,2,0,0,,1,31/05/2015,,34.330002,7100,1,6,961,2503,,21,|2|2|,2015,1
bsh,1,5035120,1,2,0,0,,1,26/05/2015,,34.330002,7100,1,6,961,2503,,21,|2|2|,2015,1
bsh,1,5035170,1,2,0,0,,1,26/05/2015,,34.330002,7100,1,6,961,2503,,23,|3|4|,2015,1
bsh,1,5035320,1,3,0,1,,1,26/05/2015,,69.089996,7100,1,6,961,2504,,22,|3|3|4|,2015,1
bsh,1,5035340,1,3,1,0,,1,26/05/2015,,69.089996,7100,1,6,961,2504,,22,|3|3|4|,2015,1
bsh,1,5035360,1,2,0,1,,1,26/05/2015,,69.089996,7100,1,6,961,2504,,21,|2|2|,2015,1
bsh,1,5035380,1,1,0,0,,1,26/05/2015,,69.089996,7100,1,6,961,2504,,10,|1|,2015,1
bsh,1,5035490,1,4,0,1,,1,14/06/2015,,69.089996,7100,1,6,961,2504,,23,|3|4|4|4|,2015,1
bsh,1,5035530,1,5,3,1,,1,14/06/2015,,69.089996,7100,1,6,961,2504,,22,|3|3|4|4|4|,2015,1
bsh,1,5035560,1,3,0,1,,1,26/05/2015,,49.290001,7100,1,6,961,2505,,22,|3|3|4|,2015,1
bsh,1,5035590,1,5,2,0,,1,26/05/2015,,49.290001,7100,1,6,961,2505,,22,|3|3|5|4|4|,2015,1
bsh,1,5035660,1,1,0,0,,1,26/05/2015,,49.290001,7100,1,6,961,2505,,10,|1|,2015,1
bsh,1,5035810,1,2,0,0,,1,27/05/2015,,49.290001,7100,1,6,961,2505,,21,|2|2|,2015,1
bsh,1,5037210,1,3,1,0,,1,26/05/2015,,68.589996,7100,1,6,961,2501,,22,|3|3|4|,2015,1
bsh,1,5037300,1,2,0,0,,1,21/05/2015,,68.589996,7100,1,6,961,2501,,31,|1|8|,2015,1
bsh,1,5037400,1,4,0,0,,1,27/05/2015,,68.589996,7100,1,6,961,2501,,22,|3|3|4|4|,2015,1
bsh,1,5037410,1,3,0,0,,1,26/05/2015,,57.290001,7100,1,6,961,2502,,23,|3|4|4|,2015,1
bsh,1,5037480,1,1,0,0,,1,26/05/2015,,68.589996,7100,1,6,961,2501,,10,|1|,2015,1
bsh,1,5037600,1,2,0,1,,1,27/05/2015,,68.589996,7100,1,6,961,2501,,21,|2|2|,2015,1
bsh,1,5037610,1,5,2,0,,1,01/06/2015,,40.869999,7100,1,6,961,2506,,22,|3|3|5|4|4|,2015,1
bsh,1,5037620,1,2,1,0,,1,01/06/2015,,68.589996,7100,1,6,961,2501,,23,|3|4|,2015,1
bsh,1,5037980,1,4,0,2,,1,27/05/2015,,57.290001,7100,1,6,961,2502,,22,|3|3|4|4|,2015,1
bsh,1,5038000,1,3,1,1,,1,27/05/2015,,57.290001,7100,1,6,961,2502,,22,|3|3|4|,2015,1
bsh,1,5038040,1,2,0,1,,1,27/05/2015,,57.290001,7100,1,6,961,2502,,23,|4|3|,2015,1
bsh,1,5038100,1,1,0,0,,1,28/05/2015,,72.900002,7100,1,6,961,2503,,10,|1|,2015,1
bsh,1,5038200,1,1,0,0,,1,28/05/2015,,34.330002,7100,1,6,961,2503,,10,|1|,2015,1
bsh,1,5038330,1,1,0,0,,1,01/06/2015,,72.900002,7100,1,6,961,2503,,10,|1|,2015,1
bsh,1,5038340,1,3,0,1,,1,04/06/2015,,72.900002,7100,1,6,961,2503,,23,|3|4|4|,2015,1
bsh,1,5038350,1,3,0,0,,1,07/06/2015,,72.900002,7100,1,6,961,2503,,22,|3|3|4|,2015,1
bsh,1,5038380,1,4,1,0,,1,01/06/2015,,72.900002,7100,1,6,961,2503,,22,|3|3|4|4|,2015,1
bsh,1,5038390,1,2,1,1,,1,01/06/2015,,72.900002,7100,1,6,961,2503,,23,|3|4|,2015,1
bsh,1,5038440,1,4,0,2,,1,15/06/2015,,72.900002,7100,1,6,961,2503,,22,|3|3|4|4|,2015,1
bsh,1,5038720,1,2,0,0,,1,27/05/2015,,40.869999,7100,1,6,961,2506,,23,|4|3|,2015,1
bsh,1,5038800,1,2,0,0,,1,02/06/2015,,40.869999,7100,1,6,961,2506,,21,|2|2|,2015,1
bsh,1,5038840,1,2,0,1,,1,27/05/2015,,40.869999,7100,1,6,961,2506,,21,|2|2|,2015,1
bsh,1,5038930,1,3,0,3,,1,31/05/2015,,40.869999,7100,1,6,961,2506,,22,|3|3|4|,2015,1
bsh,1,5038940,3,1,0,0,,1,27/05/2015,,40.869999,7100,1,6,961,2506,,10,|1|,2015,1
bsh,1,5039700,4,2,0,0,,1,10/06/2015,,38.220001,7100,1,6,961,2484,,21,|2|2|,2015,1
bsh,1,5039710,3,5,3,1,,1,10/06/2015,,38.220001,7100,1,6,961,2484,,22,|3|3|4|4|4|,2015,1
bsh,1,5039720,1,1,0,1,,1,16/06/2015,,38.220001,7100,1,6,961,2484,,10,|1|,2015,1
bsh,1,5039730,1,1,0,1,,1,10/06/2015,,38.220001,7100,1,6,961,2484,,10,|1|,2015,1
bsh,1,5039740,1,2,0,2,,1,10/06/2015,,38.220001,7100,1,6,961,2484,,21,|2|2|,2015,1
bsh,1,5041110,1,3,0,1,,1,11/06/2015,,36.259998,7100,1,6,961,2504,,21,|2|2|6|,2015,1
bsh,1,5041160,1,3,0,1,,1,18/06/2015,,36.259998,7100,1,6,961,2504,,22,|3|3|4|,2015,1
bsh,1,5041200,1,3,1,1,,1,11/06/2015,,36.259998,7100,1,6,961,2489,,22,|3|3|4|,2015,1
bsh,1,5042320,1,1,0,0,,1,14/06/2015,,37.029999,7100,1,6,961,2564,,10,|1|,2015,1
